RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31
394367,69,"Baton Rouge, LA",Msa,LA,230800.0,231600.0,234600.0,239600.0,244600.0,248266.0,248300.0,246500.0,244667.0,243000.0,241500.0,239967.0,239967.0,241568.0,243935.0,248602.0,253333.0,256000.0,254667.0,250967.0,247600.0,245585.0,243918.0,242285.0,240933.0,241600.0,244900.0,247933.0,249833.0,253167.0,257833.0,263652.0,267685.0,271318.0,271933.0,271233.0,269600.0,271267.0,276297.0,285263.0,293627.0,298597.0,299630.0,297967.0,297667.0,297967.0
394521,70,"Dayton, OH",Msa,OH,128267.0,126267.0,129883.0,134850.0,139883.0,144600.0,149633.0,151600.0,149933.0,146567.0,144233.0,142567.0,142555.0,143255.0,148255.0,153267.0,161233.0,167900.0,176233.0,179900.0,178233.0,172263.0,168096.0,165463.0,164133.0,166633.0,177633.0,189267.0,199933.0,204900.0,205567.0,202933.0,199600.0,202933.0,204233.0,204233.0,202600.0,205963.0,207663.0,209297.0,213117.0,219783.0,223150.0,221633.0,216467.0,206466.0
394843,71,"McAllen, TX",Msa,TX,192167.0,190467.0,190433.0,191567.0,193100.0,194800.0,194833.0,195000.0,196000.0,195000.0,193333.0,190633.0,189967.0,192633.0,195833.0,200833.0,204167.0,207335.0,207335.0,204669.0,201633.0,199967.0,199967.0,199967.0,199800.0,199467.0,199333.0,199167.0,202500.0,208100.0,215100.0,218767.0,223000.0,227833.0,231167.0,229833.0,226567.0,226567.0,231533.0,238300.0,244633.0,249667.0,253667.0,257333.0,258967.0,261633.0
394486,72,"Columbia, SC",Msa,SC,201567.0,201600.0,206300.0,214633.0,222933.0,229933.0,231600.0,230800.0,229100.0,227467.0,229967.0,231667.0,236000.0,237167.0,239667.0,243333.0,246833.0,249000.0,245967.0,241300.0,236600.0,233267.0,230433.0,228033.0,228033.0,231382.0,235812.0,240614.0,244766.0,247736.0,250933.0,252933.0,252933.0,249263.0,246730.0,245730.0,247767.0,250875.0,255975.0,262108.0,266533.0,269100.0,272950.0,275950.0,280983.0,284663.0
394648,73,"Greensboro, NC",Msa,NC,195667.0,198167.0,206133.0,218133.0,229600.0,234967.0,241300.0,247967.0,255900.0,257866.0,254533.0,251266.0,250900.0,254233.0,261200.0,269900.0,279900.0,281600.0,279480.0,271196.0,269196.0,266316.0,265090.0,262547.0,260580.0,260090.0,262267.0,262567.0,269233.0,277700.0,288383.0,293417.0,288950.0,281467.0,270300.0,263830.0,262330.0,261330.0,264467.0,267767.0,270430.0,270130.0,271797.0,272633.0,270300.0,260300.0
394304,74,"Akron, OH",Msa,OH,145900.0,143933.0,144633.0,151167.0,159667.0,167967.0,173100.0,172933.0,169300.0,164300.0,159600.0,154900.0,151567.0,151600.0,154967.0,159967.0,166633.0,173267.0,177633.0,177600.0,173467.0,169100.0,163300.0,157433.0,152433.0,152267.0,157267.0,163933.0,171433.0,178133.0,184500.0,187667.0,184333.0,179633.0,170633.0,163933.0,155600.0,154267.0,160468.0,171502.0,178835.0,182633.0,181600.0,181600.0,176633.0,171667.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,358167.0,359467.0,360301.0,360134.0,362134.0,364933.0,368567.0,368233.0,363267.0,358967.0,355333.0,354500.0,355167.0,357133.0,362133.0,367467.0,373467.0,377600.0,378267.0,375633.0,371667.0,370633.0,373300.0,375633.0,376000.0,375000.0,375000.0,371333.0,367967.0,367933.0,373267.0,378267.0,379933.0,379900.0,379900.0,382600.0,"","","","","","","","","",""
394798,76,"Little Rock, AR",Msa,AR,169131.0,171594.0,173256.0,175688.0,177874.0,179413.0,179136.0,177566.0,176027.0,176181.0,176211.0,176211.0,175411.0,176027.0,178828.0,182861.0,189942.0,194867.0,198561.0,198561.0,196991.0,195452.0,193143.0,192250.0,191481.0,192250.0,195945.0,199793.0,204410.0,206227.0,207458.0,205919.0,205950.0,206689.0,210083.0,211908.0,213878.0,214425.0,221167.0,226467.0,231433.0,231900.0,233267.0,233267.0,231467.0,229800.0
395134,77,"Stockton, CA",Msa,CA,359063.0,360915.0,359377.0,360946.0,361903.0,368181.0,369751.0,368825.0,365654.0,362202.0,360318.0,358780.0,355955.0,354700.0,357525.0,370080.0,385461.0,398017.0,405864.0,411734.0,413617.0,411978.0,411114.0,412370.0,410871.0,409313.0,409596.0,411149.0,412409.0,418404.0,429092.0,441648.0,447298.0,449181.0,447923.0,450418.0,454652.0,467223.0,473333.0,486633.0,491633.0,516300.0,533000.0,549667.0,549967.0,548967.0
394457,78,"Charleston, SC",Msa,SC,364532.0,367422.0,372011.0,378242.0,382953.0,385688.0,385658.0,381099.0,373804.0,367726.0,364078.0,361827.0,361249.0,364896.0,374139.0,382345.0,387080.0,387688.0,385864.0,379610.0,371981.0,366176.0,364626.0,364352.0,364079.0,365902.0,372282.0,376202.0,383497.0,388667.0,397207.0,402289.0,405936.0,409203.0,411792.0,415327.0,419997.0,430472.0,442468.0,459135.0,476663.0,491333.0,491333.0,476709.0,456376.0,448042.0
